symptom,disease,advice
fever,Viral Fever,Drink plenty of fluids and take rest
headache,Tension Headache,Reduce stress and stay hydrated
cold,Common Cold,Take warm fluids and rest properly
cough,Respiratory Infection,Use warm water and consult doctor if persistent
stomach pain,Gastritis,Avoid spicy food and eat light meals
vomiting,Food Poisoning,Drink ORS and stay hydrated
diarrhea,Food Infection,Take ORS solution and avoid oily food
sore throat,Throat Infection,Drink warm salt water
body pain,Fatigue,Take rest and maintain hydration
high temperature,Fever,Monitor temperature regularly
dizziness,Low Blood Pressure,Drink fluids and take rest
chest pain,Cardiac Issue,Seek medical help immediately
breathing problem,Asthma,Use inhaler and consult doctor
skin rash,Allergy,Avoid allergens and use prescribed cream
eye pain,Eye Strain,Reduce screen exposure
tooth pain,Dental Infection,Visit dentist for checkup
ear pain,Ear Infection,Consult ENT specialist
back pain,Muscle Strain,Do light stretching and rest
joint pain,Arthritis,Apply warm compress and exercise gently
fatigue,Weakness,Improve sleep and nutrition
